# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 30, mean track length: 2
1 -2.8872081579418647 -0.31421492155691677 37.514500600469951 177 187 190 0.61613018176084955 11 52 6 80
2 -0.67129884215100222 0.56495473882527514 36.590248639158531 232 238 233 0.40309426504439638 11 73 6 98
3 -0.46463415030486788 1.5359604948973833 35.05513873340599 71 56 37 1.8738273384461797 11 484 6 128
4 0.53525479054331793 2.1952830650354174 37.051279213069996 81 61 34 0.4906868650112487 11 487 6 143
5 0.05535664358683591 2.3301814101247591 36.184178942262996 78 54 19 0.150955534599199 11 319 6 152
6 1.1173125054278583 2.2364646693518964 37.18402432466636 92 71 42 0.02973786682653036 11 488 6 153
7 -2.546744783212155 -2.4055242934244232 21.526156118123676 253 247 225 0.047864687879716372 11 23 6 301
8 -2.546744783212155 -2.4055242934244232 21.526156118123676 253 247 225 0.047864687879716372 11 24 6 302
9 -3.9198644203809532 -2.4995353080352416 37.639245439844714 68 57 39 0.77405661487838651 11 35 6 314
10 0.051223585645553141 -2.347520512680509 40.760617345256726 132 116 100 1.0693308034435836 11 461 6 316
11 -0.5891270903851521 0.50911769396773654 36.472734356755637 18 14 6 0.089682082403037475 11 74 6 337
13 -2.8694309092998713 -2.8223896144436162 36.524701951620806 229 235 243 0.66259178004834718 11 529 6 444
14 -3.0549624796837391 -0.19797647270471042 38.377131094365026 35 41 45 0.17693530130305138 11 468 6 460
15 0.33024848729577078 0.3777834390672451 37.469617601403428 71 56 35 0.18069336847888748 11 545 6 465
16 1.3374203076714937 2.3767646211372417 36.56515581003282 137 110 77 0.24945087869043484 11 552 6 481
17 -2.9951637679817558 -2.9634422460947265 36.570717937372287 35 38 44 0.058305285339666793 11 592 6 516
18 -0.35453820175301642 0.82766965004115645 35.20045343356724 147 130 111 1.4051819450137777 11 604 6 538
19 -0.32916942193941429 1.658690558569881 34.910214032351142 210 193 171 0.91483851792701032 11 639 6 546
20 0.04977477590954428 2.6375812551615905 34.408807697923493 103 79 53 0.39100448778678287 11 610 6 555
21 2.526069100801398 6.5754424683492587 22.805888823036646 30 38 49 0.041827871253037413 11 576 6 563
23 -0.035698843168937844 2.4829488462348337 35.303652606775167 195 169 135 0.093852383811372384 11 670 6 602
24 -0.035698843168937844 2.4829488462348337 35.303652606775167 195 169 135 0.093852383811372384 11 669 6 603
25 0.55606703530821711 2.7349919837617653 33.930572100675917 119 89 60 0.39092797048301903 11 673 6 607
26 -0.77835554855853994 0.65029624382048412 36.681157133211094 222 222 216 0.72311283199032894 11 638 6 643
27 -0.24942989506413821 2.6412063880669554 33.78577407462673 94 76 55 0.48286343405028392 11 692 6 646
28 0.52594031644999562 2.899287737136901 32.88744252589462 166 138 102 0.57461413062757383 11 676 6 647
29 0.52594031644999562 2.899287737136901 32.88744252589462 166 138 102 0.57461413062757383 11 675 6 648
30 1.9432930750789368 -4.0552308582722176 46.933908862215191 76 63 45 1.5807070999875168 11 686 6 703
31 0.060008458224389979 3.3496919330030588 20.277286936981977 27 24 23 0.69208801635439121 11 727 6 720
32 -1.0122137113359639 -2.3659370477390143 35.789547207045473 239 239 237 0.40858687230463242 11 732 6 761
