# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 51, mean track length: 2
2 -5.7897861555997121 0.64007594465693618 16.245594629308162 26 35 42 0.44474636378600874 3 85 11 402
3 -5.3680487553568659 0.9269874503100769 16.387055665527981 208 177 143 0.082830074922027305 3 368 11 447
4 -5.0714891645629461 0.90223368146302363 16.538853676624292 176 158 119 0.075136475543022607 3 130 11 448
6 -6.0482369099087459 0.4264403397360802 16.039471910408935 51 59 70 0.25683969484443298 3 56 11 590
7 -5.6291872689336389 0.41190185648462724 16.368077616925078 45 61 82 0.04378435094347978 3 57 11 594
8 -5.6396847698272197 0.66337737168479716 13.847846244650903 45 45 53 0.45642795958869076 3 917 11 604
9 -4.9237647378624381 0.66412212633646606 16.614194113049862 40 17 3 0.82482021175602138 3 91 11 605
10 -4.8877684627709037 0.65322583642973497 16.070515832310456 40 17 3 1.7816134353051685 3 89 11 606
11 -5.3453870973001596 0.91149841354047323 16.401405798587735 116 91 60 0.11288501115343699 3 126 11 627
12 -5.3453870973001596 0.91149841354047323 16.401405798587735 116 91 60 0.11288501115343699 3 127 11 628
13 -5.0659046469573576 0.93148632737113235 16.553488088569832 154 123 67 0.42441909892591645 3 537 11 629
14 -6.0488965803951311 0.40751244421072763 16.020361871206358 240 249 253 0.26624653110189123 3 333 11 726
15 -5.6179051966207796 0.39060536374577137 16.374840181553573 140 141 144 0.3610510806195435 3 336 11 728
16 -5.4183053076736511 0.37458910724504202 16.418659031533039 58 29 12 0.58555696590371853 3 337 11 730
18 -5.3310560387215293 0.88866746544634312 16.304486229505507 199 182 156 0.14663425047271814 3 114 11 757
19 -5.3012254593828327 0.90777204137768419 16.429430851459472 132 112 78 0.055407741340376418 3 371 11 764
21 -6.0689936284704755 0.40649224584614985 16.01146965757194 39 60 83 0.60682056215787428 3 512 11 877
22 -6.0349583163064846 0.55773143570005534 16.054418550876729 50 57 72 0.045755792766911781 3 666 11 882
23 -5.9240060793159826 0.64387949690193258 16.12853919368456 214 225 232 0.60097106105502818 3 521 11 885
24 -5.452928654108903 0.65969337057883548 16.387195172275845 65 34 18 0.52727078979067188 3 669 11 886
25 -5.3628615849770842 0.89690933057455524 16.393555558628993 208 188 161 0.62344444168448265 3 533 11 898
26 -5.0657834287522912 0.96210641463477564 16.556658604531865 62 33 3 0.59819641113335564 3 373 11 909
27 -5.0055185142384016 0.95998927082289309 16.562053464045707 74 57 32 0.45569641138700223 3 374 11 910
31 -6.0630440565633297 0.3744732908506615 16.023983908257399 132 143 155 0.57110974955663152 3 655 11 989
32 -5.8149286911591931 0.64778272971505402 16.215468246437798 215 230 227 0.74524974035684921 3 776 11 996
34 -6.0038751097768994 0.34996319130258374 16.138108900274538 101 98 99 0.57029829428445256 3 766 11 1071
35 -5.932843336162513 0.56528371638679087 16.131211228974795 225 238 239 0.09564454922432275 3 773 11 1077
36 -5.7624355375206164 0.65266212020681524 16.26513599844305 251 251 251 0.36999364999394979 3 777 11 1080
37 -5.6600981471503813 0.65652923936123098 16.295531123829207 246 246 248 0.38381930253331864 3 856 11 1081
38 -5.4471841754354227 0.74452816952169643 16.370735892229337 86 48 29 0.10099202793661974 3 670 11 1084
39 -5.4054877644142696 0.90445531981220728 16.369285464417352 179 158 131 0.39790795684842883 3 785 11 1089
40 -5.0403477460414656 0.91170532420241057 16.570551734540189 37 35 14 0.5847418929085646 3 786 11 1090
41 -5.0006456072408936 0.92545501392803264 16.571132127216607 159 134 101 0.58682779150404474 3 787 11 1091
43 -5.4960711629121484 0.4417230204609417 16.400483142871373 149 152 157 0.50559395539463814 3 849 11 1147
44 -5.4960711629121484 0.4417230204609417 16.400483142871373 149 152 157 0.50559395539463814 3 850 11 1148
45 -5.4921436063059321 0.5670044954477601 16.387602106839832 146 151 155 0.5124367793172504 3 853 11 1150
46 -5.4921436063059321 0.5670044954477601 16.387602106839832 146 151 155 0.5124367793172504 3 854 11 1151
47 -5.4935602745412595 0.67093873992396291 16.379901849925016 130 126 115 0.54309087309412252 3 857 11 1153
48 -5.5404026408226743 0.73913092407315817 16.35839372659407 69 45 33 0.36719874120657636 3 858 11 1154
49 -5.0751164413811578 0.77212222143333864 16.566936389603885 249 242 232 0.080045891572731204 3 958 11 1155
50 -5.7914525300040101 0.60919149597469957 16.247619720773031 35 45 61 0.29698906273374742 3 911 11 1181
51 -5.4846897962592074 0.79848805952826474 16.380944695266557 239 227 213 0.50409083700178037 3 989 11 1216
52 -5.2111728802189736 0.88912264955316433 16.476799501115451 189 168 141 0.57455316556509506 3 990 11 1217
53 -5.6997641040567171 0.70972421349138792 16.288315037977782 250 250 248 1.5886844584793374 3 987 11 1236
54 -5.435730464803096 0.95027138230075836 16.339993487197241 84 43 23 2.1714169287510057 3 960 11 1238
55 -5.8142733893004097 0.30487630491348189 16.283376838906342 122 116 115 0.98776878561321801 3 1027 11 1245
56 -5.8895862824112166 0.48945498600877813 16.170365630251119 249 249 249 0.18072091072731664 3 1031 11 1248
57 -5.7073916172604058 0.48459766771932766 16.337024227592821 239 243 244 0.16429586203834129 3 1032 11 1249
58 -5.5604111399131204 0.67000614197572916 16.355770959469513 72 54 47 0.31059166824233053 3 1044 11 1250
59 -5.4563827712494151 0.3068052027859498 16.419188945564802 73 46 25 0.95869144663021277 3 1054 11 1265
60 -5.4563827712494151 0.3068052027859498 16.419188945564802 73 46 25 0.95869144663021277 3 1055 11 1266
